,Participant,Station Name,Region,Dispatch Type,Category,Classification,Fuel Source - Primary,Fuel Source - Descriptor,Technology Type - Primary,Technology Type - Descriptor,Physical Unit No.,Unit Size (MW),Aggregation,DUID,Reg Cap (MW),Max Cap (MW),Max ROC/Min,Short name,lat,lon,Size,Distance to Station 2020-2021,Nearest Station 2020-2021,Modelled System Strength 2020-2021,Distance to Station 2029-2030,Nearest Station 2029-2030,Modelled System Strength 2029-2030,Distance to Station 2034-2035,Nearest Station 2034-2035,Modelled System Strength 2034-2035
0,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-31,3.23,Y,ARWF1,241.59,241,50,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
1,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,32,2.57,Y,ARWF1,-,-,-,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
2,Ararat Wind Farm Pty Ltd,Ararat Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,33-75,3.23,Y,ARWF1,-,-,-,Ararat ,-37.2843443,142.930621,1,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor,26.87,CROWLANDS 220 kV,Very poor
3,Diamond Energy Pty Ltd,Baking Board Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Jul,2.5,Y,BAKING1,17,14,1000,Baking Board ,-26.698762,150.5794702,1,21.44,APLNG ORANA 275 kV,High,21.44,APLNG ORANA 275 kV,Poor,21.44,APLNG ORANA 275 kV,High
4,Alinta Energy Retail Sales Pty Ltd,Bald Hills Wind Farm,VIC1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-52,2.05,Y,BALDHWF1,106.6,106,600,Bald Hills ,-36.75117,149.33713,1,20.16,STEEPLE FLAT 132 kV,Poor,20.16,STEEPLE FLAT 132 kV,Poor,20.16,STEEPLE FLAT 132 kV,Very poor
5,Alinta Energy Retail Sales Pty Ltd,Bannerton Solar Park,VIC1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-40,2.5,Y,BANN1,100,88,18,Bannerton ,-34.73749,142.7992023,1,25.73,WEMEN 220 kV,Very poor,25.73,WEMEN 220 kV,Very poor,25.73,WEMEN 220 kV,Poor
6,Diamond Energy Pty Ltd,Barcaldine Solar Farm,QLD1,Generator,Market,Non-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,1-Feb,10,Y,BARCSF1,20,20,0,Barcaldine ,-23.05188,145.8212732,1,76.08,BARCALDINE 132 kV,Very poor,76.08,BARCALDINE 132 kV,Very poor,76.08,BARCALDINE 132 kV,Very poor
7,FS NSW Project No 1 At Pty Ltd as trustee for the FS NSW Project No 1 Asset Trust,"Beryl Solar Farm, Units 1-60",NSW1,Generator,Market,Semi-Scheduled,Solar,Solar,Renewable,Photovoltaic Tracking Flat panel,Jan-60,1.64,Y,BERYLSF1,98,87,88,Beryl ,-32.3430231,149.4431163,1,48.51,WOLLAR 500 kV,High,48.51,WOLLAR 500 kV,High,48.51,WOLLAR 500 kV,Very poor
8,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,Jan-58,1.7,N,BOCORWF1,113.18,113,201,Boco Rock ,-36.58,149.08,1,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Very poor
9,Boco Rock Wind Farm Pty Ltd,Boco Rock Wind Farm,NSW1,Generator,Market,Semi-Scheduled,Wind,Wind,Renewable,Wind - Onshore,59-67,1.62,N,BOCORWF1,-,-,-,Boco Rock ,-36.58,149.08,1,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Poor,25.82,STEEPLE FLAT 132 kV,Very poor
